date,open,high,low,close,volume
2023-08-29 00:00:00+00:00,339.0,339.0,326.9,326.9,57
2023-08-30 00:00:00+00:00,325.4,325.4,325.2,325.2,64
2023-08-31 00:00:00+00:00,334.2,334.2,334.2,334.2,0
2023-09-01 00:00:00+00:00,334.6,336.0,334.6,336.0,4
2023-09-04 00:00:00+00:00,336.45,336.45,336.45,336.45,0
2023-09-05 00:00:00+00:00,333.85,333.85,333.85,333.85,0
2023-09-06 00:00:00+00:00,334.0,334.0,334.0,334.0,0
2023-09-07 00:00:00+00:00,334.9,334.9,334.9,334.9,0
2023-09-08 00:00:00+00:00,341.1,341.1,341.1,341.1,0
2023-09-11 00:00:00+00:00,346.9,346.9,346.9,346.9,0
2023-09-12 00:00:00+00:00,349.5,349.5,346.9,346.9,30
2023-09-13 00:00:00+00:00,354.1,354.1,354.1,354.1,0
2023-09-14 00:00:00+00:00,358.65,358.65,358.65,358.65,0
2023-09-15 00:00:00+00:00,349.1,349.1,349.1,349.1,0
2023-09-18 00:00:00+00:00,346.45,346.45,346.45,346.45,0
2023-09-19 00:00:00+00:00,336.7,336.7,336.7,336.7,0
2023-09-20 00:00:00+00:00,339.4,339.4,339.4,339.4,0
2023-09-21 00:00:00+00:00,330.9,330.9,327.15,327.15,2
2023-09-22 00:00:00+00:00,329.95,329.95,329.95,329.95,0
2023-09-25 00:00:00+00:00,329.1,329.1,329.1,329.1,0
2023-09-26 00:00:00+00:00,320.675,320.675,320.675,320.675,0
2023-09-27 00:00:00+00:00,316.05,316.05,316.05,316.05,0
2023-09-28 00:00:00+00:00,315.5,315.5,315.5,315.5,0
2023-09-29 00:00:00+00:00,320.95,320.95,320.95,320.95,0
2023-10-02 00:00:00+00:00,329.325,329.325,329.325,329.325,0
2023-10-03 00:00:00+00:00,318.45,318.45,318.45,318.45,0
2023-10-04 00:00:00+00:00,318.875,318.875,318.875,318.875,0
2023-10-05 00:00:00+00:00,321.25,321.25,314.975,314.975,5000
2023-10-06 00:00:00+00:00,313.75,316.075,313.2,316.075,2430
2023-10-09 00:00:00+00:00,316.925,316.925,316.925,316.925,0
2023-10-10 00:00:00+00:00,326.45,326.45,326.45,326.45,0
2023-10-11 00:00:00+00:00,324.7,324.7,324.7,324.7,0
2023-10-12 00:00:00+00:00,336.475,336.475,336.475,336.475,0
2023-10-13 00:00:00+00:00,329.4,329.4,329.4,329.4,0
2023-10-16 00:00:00+00:00,332.0,332.0,332.0,332.0,0
2023-10-17 00:00:00+00:00,331.2,331.2,331.2,331.2,0
2023-10-18 00:00:00+00:00,326.45,326.45,326.45,326.45,0
2023-10-19 00:00:00+00:00,324.7,324.7,324.7,324.7,810
2023-10-20 00:00:00+00:00,317.15,317.15,317.15,317.15,0
2023-10-23 00:00:00+00:00,316.6,316.6,316.6,316.6,0
2023-10-24 00:00:00+00:00,321.8,321.8,321.8,321.8,0
2023-10-25 00:00:00+00:00,312.075,312.075,312.075,312.075,810
2023-10-26 00:00:00+00:00,303.5,303.5,303.5,303.5,0
2023-10-27 00:00:00+00:00,327.525,327.525,327.525,327.525,0
2023-10-30 00:00:00+00:00,326.65,332.25,325.9,332.25,613
2023-10-31 00:00:00+00:00,334.4,334.4,334.4,334.4,0
2023-11-01 00:00:00+00:00,343.4,343.4,343.4,343.4,0
2023-11-02 00:00:00+00:00,346.1,346.1,346.1,346.1,0
2023-11-03 00:00:00+00:00,353.1,354.8,343.2,344.3,58
2023-11-06 00:00:00+00:00,344.05,346.925,344.05,346.925,4
2023-11-07 00:00:00+00:00,348.55,357.025,348.55,357.025,1025
2023-11-08 00:00:00+00:00,349.95,354.075,349.95,354.075,886
2023-11-09 00:00:00+00:00,354.7,354.7,354.375,354.375,307
2023-11-10 00:00:00+00:00,357.375,357.375,357.375,357.375,0
2023-11-13 00:00:00+00:00,357.875,357.875,357.875,357.875,0
2023-11-14 00:00:00+00:00,350.9,360.05,350.9,360.05,59
2023-11-15 00:00:00+00:00,362.7,362.7,353.2,353.2,720
2023-11-16 00:00:00+00:00,354.85,354.85,347.15,350.575,280
